Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,22,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,22IS_UA0.025,Iris/TreeFarms/Raw/22IS_UA0.025.pkl
Iris,22,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,22IS_DA0.025,Iris/TreeFarms/Raw/22IS_DA0.025.pkl
Iris,22,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,22IS_PLA0.0,Iris/RandomForestClassification/Raw/22IS_PLA0.0.pkl
Iris,23,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,23IS_UA0.025,Iris/TreeFarms/Raw/23IS_UA0.025.pkl
Iris,23,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,23IS_PLA0.0,Iris/RandomForestClassification/Raw/23IS_PLA0.0.pkl
Iris,23,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,23IS_RFA0.0,Iris/RandomForestClassification/Raw/23IS_RFA0.0.pkl
Iris,23,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,23IS_DA0.025,Iris/TreeFarms/Raw/23IS_DA0.025.pkl
Iris,24,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,24IS_RFA0.0,Iris/RandomForestClassification/Raw/24IS_RFA0.0.pkl
Iris,24,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,24IS_PLA0.0,Iris/RandomForestClassification/Raw/24IS_PLA0.0.pkl
Iris,24,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,24IS_DA0.025,Iris/TreeFarms/Raw/24IS_DA0.025.pkl
Iris,24,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,24IS_UA0.025,Iris/TreeFarms/Raw/24IS_UA0.025.pkl
Iris,25,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,25IS_DA0.025,Iris/TreeFarms/Raw/25IS_DA0.025.pkl
Iris,25,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,25IS_UA0.025,Iris/TreeFarms/Raw/25IS_UA0.025.pkl
Iris,25,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,25IS_RFA0.0,Iris/RandomForestClassification/Raw/25IS_RFA0.0.pkl
Iris,25,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,25IS_PLA0.0,Iris/RandomForestClassification/Raw/25IS_PLA0.0.pkl
Iris,26,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,26IS_RFA0.0,Iris/RandomForestClassification/Raw/26IS_RFA0.0.pkl
Iris,26,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,26IS_UA0.025,Iris/TreeFarms/Raw/26IS_UA0.025.pkl
Iris,26,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,26IS_DA0.025,Iris/TreeFarms/Raw/26IS_DA0.025.pkl
